QUOTE,LIKES,AUTHOR,TITLE,TAGS,processed_quote,original_quote,topic,topic_prob,sentiment_label,sentiment_score,sentiment_value,primary_emotion,emotion_score
"My heart is too thoroughly dried to be broken in a hurry, and I mean to live as long as I can.",80,Anne Brontë,The Tenant of Wildfell Hall,"['heartbreak', 'life']",heart thoroughly dried broken hurry mean live long,"My heart is too thoroughly dried to be broken in a hurry, and I mean to live as long as I can.",0,0.8802831714249706,NEGATIVE,0.9967883825302124,-0.9967883825302124,sadness,0.19338053464889526
"That a good man may have his back to the wall is no more than we knew already, but that God could have His back to the wall is a boast for all insurgents forever. Christianity is the only religion on earth that has felt that omnipotence made God incomplete. Christianity alone felt that God, to be wholly God, must have been a rebel as well as a king. Alone of all creeds, Christianity has added courage to the virtues of the Creator. For the only courage worth calling courage must necessarily mean that the soul passes a breaking point -- and does not break. In this indeed I approach a matter more dark and awful than it is easy to discuss; and I apologize in advance if any of my phrases fall wrong or seem irreverent touching a matter which the greatest saints and thinkers have justly feared to approach. But in the terrific tale of the Passion there is a distinct emotional suggestion that the author of all things (in some unthinkable way) went not only through agony, but through doubt. It is written, ""Thou shalt not tempt the Lord thy God."" No; but the Lord thy God may tempt Himself; and it seems as if this was what happened in Gethsemane. In a garden Satan tempted man: and in a garden God tempted God. He passed in some superhuman manner through our human horror of pessimism. When the world shook and the sun was wiped out of heaven, it was not at the crucifixion, but at the cry from the cross: the cry which confessed that God was forsaken of God. And now let the revolutionists choose a creed from all the creeds and a god from all the gods of the world, carefully weighing all the gods of inevitable recurrence and of unalterable power. They will not find another god who has himself been in revolt. Nay (the matter grows too difficult for human speech), but let the atheists themselves choose a god. They will find only one divinity who ever uttered their isolation; only one religion in which God seemed for an instant to be an atheist.",82,G. K. Chesterton,Orthodoxy,,good man back wall knew already god back wall boast insurgents forever christianity religion earth felt omnipotence made god incomplete christianity alone felt god wholly god rebel well king alone creeds christianity added courage virtues creator courage worth calling courage necessarily mean soul passes breaking point break indeed approach matter dark awful easy discuss apologize advance phrases fall wrong seem irreverent touching matter greatest saints thinkers justly feared approach terrific tale passion distinct emotional suggestion author things unthinkable way went agony doubt written thou shalt tempt lord thy god lord thy god tempt seems happened gethsemane garden satan tempted man garden god tempted god passed superhuman manner human horror pessimism world shook sun wiped heaven crucifixion cry cross cry confessed god forsaken god let revolutionists choose creed creeds god gods world carefully weighing gods inevitable recurrence unalterable power find another god revolt nay matter grows difficult human speech let atheists choose god find one divinity ever uttered isolation one religion god seemed instant atheist,"That a good man may have his back to the wall is no more than we knew already, but that God could have His back to the wall is a boast for all insurgents forever. Christianity is the only religion on earth that has felt that omnipotence made God incomplete. Christianity alone felt that God, to be wholly God, must have been a rebel as well as a king. Alone of all creeds, Christianity has added courage to the virtues of the Creator. For the only courage worth calling courage must necessarily mean that the soul passes a breaking point -- and does not break. In this indeed I approach a matter more dark and awful than it is easy to discuss; and I apologize in advance if any of my phrases fall wrong or seem irreverent touching a matter which the greatest saints and thinkers have justly feared to approach. But in the terrific tale of the Passion there is a distinct emotional suggestion that the author of all things (in some unthinkable way) went not only through agony, but through doubt. It is written, ""Thou shalt not tempt the Lord thy God."" No; but the Lord thy God may tempt Himself; and it seems as if this was what happened in Gethsemane. In a garden Satan tempted man: and in a garden God tempted God. He passed in some superhuman manner through our human horror of pessimism. When the world shook and the sun was wiped out of heaven, it was not at the crucifixion, but at the cry from the cross: the cry which confessed that God was forsaken of God. And now let the revolutionists choose a creed from all the creeds and a god from all the gods of the world, carefully weighing all the gods of inevitable recurrence and of unalterable power. They will not find another god who has himself been in revolt. Nay (the matter grows too difficult for human speech), but let the atheists themselves choose a god. They will find only one divinity who ever uttered their isolation; only one religion in which God seemed for an instant to be an atheist.",-1,0.0,POSITIVE,0.8750624656677246,0.8750624656677246,sadness,0.10524341464042664
"1. I am superior to others. 
Circle one: Doesn't apply to me. Partially applies to me. Fully applies to me. 
And: 
I would not feel sorry if someone were blamed for something I did. 
Circle one: Doesn't apply to me. Partially applies to me. Fully applies to me.",83,Lisa Scottoline,Every Fifteen Minutes,['lisa-scottoline'],1 superior others circle one apply partially applies fully applies feel sorry someone blamed something circle one apply partially applies fully applies,"1. I am superior to others. 
Circle one: Doesn't apply to me. Partially applies to me. Fully applies to me. 
And: 
I would not feel sorry if someone were blamed for something I did. 
Circle one: Doesn't apply to me. Partially applies to me. Fully applies to me.",-1,0.0,POSITIVE,0.967088520526886,0.967088520526886,neutral,0.14533083140850067
I feel guilty for being a member of the human race.,305,Jack Kerouac,Big Sur,,feel guilty member human race,I feel guilty for being a member of the human race.,-1,0.0,NEGATIVE,0.9924813508987427,-0.9924813508987427,remorse,0.3762718737125397
"Roses are red
Violets are blue
Everything's possible
Nothing is true.",50,Alan Moore,"V for Vendetta, Vol. VIII of X",,roses red violets blue everything's possible nothing true,"Roses are red
Violets are blue
Everything's possible
Nothing is true.",0,0.9981031891017949,NEGATIVE,0.8791435360908508,-0.8791435360908508,confusion,0.2049001157283783
"I have lost the faculty of enjoying their destruction, and I am too idle to destroy for nothing.",88,Emily Brontë,Wuthering Heights,['heathcliff'],lost faculty enjoying destruction idle destroy nothing,"I have lost the faculty of enjoying their destruction, and I am too idle to destroy for nothing.",-1,0.0,NEGATIVE,0.9990386962890625,-0.9990386962890625,disappointment,0.1349090039730072
"Wo wei ni xie de,” he said, as he raised the violin to his left shoulder, tucking it under his chin. He had told her many violinists used a shoulder rest, but he did not: there was a slight mark on the side of his throat, like a permanent bruise, where the violin rested. 
“You — made something for me?” Tessa asked.
“I wrote something for you,” he corrected, with a smile, and began to play.",541,Cassandra Clare,Clockwork Princess,['tessa-gray'],wo wei ni xie de raised violin left shoulder tucking chin told many violinists used shoulder rest slight mark side throat permanent bruise violin rested made something tessa asked wrote something corrected smile began play,"Wo wei ni xie de,” he said, as he raised the violin to his left shoulder, tucking it under his chin. He had told her many violinists used a shoulder rest, but he did not: there was a slight mark on the side of his throat, like a permanent bruise, where the violin rested. 
“You — made something for me?” Tessa asked.
“I wrote something for you,” he corrected, with a smile, and began to play.",-1,0.0,POSITIVE,0.9282658696174622,0.9282658696174622,curiosity,0.10369458049535751
"We speak not only to tell other people what we think, but to tell ourselves what we think. Speech is a part of thought.",289,Oliver Sacks,Seeing Voices,"['cognition', 'communication', 'community', 'senses', 'sociality', 'speech', 'thought']",speak tell people think tell think speech part thought,"We speak not only to tell other people what we think, but to tell ourselves what we think. Speech is a part of thought.",0,0.962191869569894,POSITIVE,0.9982129335403442,0.9982129335403442,realization,0.16230063140392303
"These days I just can't seem to say what I mean,' she said. 'I just can't. Every time I try to say something, it misses the point. Either that or I end up saying the opposite of what I mean. The more I try to get it right the more mixed up it gets. Sometimes I can't even remember what I was trying to say in the first place. It's like my body's split in two and one of me is chasing the other me around a big pillar. We're running circles around it. The other me has the right words, but I can never catch her...Do you know what I'm trying to say?' 'Everybody has that kind of feeling sometimes,' I said. 'You can't express yourself the way you want to, and it annoys you.' Obviously this wasn't what she wanted to hear.",71,Haruki Murakami,"Blind Willow, Sleeping Woman",,days can't seem mean ' 'i can't every time try something misses point either end saying opposite mean try get right mixed gets sometimes can't even remember trying first place body's split two one chasing around big pillar running circles around right words never catch know trying ' 'everybody kind feeling sometimes ' 'you can't express way want annoys ' obviously wanted hear,"These days I just can't seem to say what I mean,' she said. 'I just can't. Every time I try to say something, it misses the point. Either that or I end up saying the opposite of what I mean. The more I try to get it right the more mixed up it gets. Sometimes I can't even remember what I was trying to say in the first place. It's like my body's split in two and one of me is chasing the other me around a big pillar. We're running circles around it. The other me has the right words, but I can never catch her...Do you know what I'm trying to say?' 'Everybody has that kind of feeling sometimes,' I said. 'You can't express yourself the way you want to, and it annoys you.' Obviously this wasn't what she wanted to hear.",-1,0.0,NEGATIVE,0.999650239944458,-0.999650239944458,confusion,0.39425572752952576
"Honey, you need to get laid. (Selena)
Why don’t you speak a little louder, Lanie? I don’t think the guys in Canada were able to hear you. (Grace)
Oh, I don’t know. They’re probably headed south even as we speak. (Waiter)",70,Sherrilyn Kenyon,Fantasy Lover,,honey get laid selena speak little louder lanie think guys canada able hear grace oh know probably headed south even speak waiter,"Honey, you need to get laid. (Selena)
Why don’t you speak a little louder, Lanie? I don’t think the guys in Canada were able to hear you. (Grace)
Oh, I don’t know. They’re probably headed south even as we speak. (Waiter)",-1,0.0,NEGATIVE,0.9964381456375122,-0.9964381456375122,confusion,0.13946419954299927
"Make your mistakes, take your chances, look silly, but keep on going. Don’t freeze up.",2963,Thomas Wolfe,You Can't Go Home Again,,make mistakes take chances look silly keep going freeze,"Make your mistakes, take your chances, look silly, but keep on going. Don’t freeze up.",0,1.0,POSITIVE,0.9990536570549011,0.9990536570549011,optimism,0.0936046913266182
"Yet it would be your duty to bear it, if you could not avoid it: it is weak and silly to say you cannot bear what it is your fate to be required to bear.",546,Charlotte Brontë,Jane Eyre,"['fate', 'jane-eyre']",yet duty bear avoid weak silly cannot bear fate required bear,"Yet it would be your duty to bear it, if you could not avoid it: it is weak and silly to say you cannot bear what it is your fate to be required to bear.",-1,0.0,NEGATIVE,0.9990373849868774,-0.9990373849868774,confusion,0.15323126316070557
"I love you,' Buttercup said. 'I know this must come as something of a surprise to you, since all I've ever done is scorn you and degrade you and taunt you, but I have loved you for several hours now, and every second, more. I thought an hour ago that I loved you more than any woman has ever loved a man, but a half hour after that I knew that what I felt before was nothing compared to what I felt then. But ten minutes after that, I understood that my previous love was a puddle compared to the high seas before a storm. Your eyes are like that, did you know? Well they are. How many minutes ago was I? Twenty? Had I brought my feelings up to then? It doesn't matter.' Buttercup still could not look at him. The sun was rising behind her now; she could feel the heat on her back, and it gave her courage. 'I love you so much more now than twenty minutes ago that there cannot be comparison. I love you so much more now then when you opened your hovel door, there cannot be comparison. There is no room in my body for anything but you. My arms love you, my ears adore you, my knees shake with blind affection. My mind begs you to ask it something so it can obey. Do you want me to follow you for the rest of your days? I will do that. Do you want me to crawl? I will crawl. I will be quiet for you or sing for you, or if you are hungry, let me bring you food, or if you have thirst and nothing will quench it but Arabian wine, I will go to Araby, even though it is across the world, and bring a bottle back for your lunch. Anything there is that I can do for you, I will do for you; anything there is that I cannot do, I will learn to do. I know I cannot compete with the Countess in skills or wisdom or appeal, and I saw the way she looked at you. And I saw the way you looked at her. But remember, please, that she is old and has other interests, while I am seventeen and for me there is only you. Dearest Westley--I've never called you that before, have I?--Westley, Westley, Westley, Westley, Westley,--darling Westley, adored Westley, sweet perfect Westley, whisper that I have a chance to win your love.' And with that, she dared the bravest thing she'd ever done; she looked right into his eyes.",1405,William Goldman,The Princess Bride,[],love ' buttercup 'i know come something surprise since ever done scorn degrade taunt loved several hours every second thought hour ago loved woman ever loved man half hour knew felt nothing compared felt ten minutes understood previous love puddle compared high seas storm eyes know well many minutes ago twenty brought feelings matter ' buttercup still look sun rising behind feel heat back gave courage 'i love much twenty minutes ago cannot comparison love much opened hovel door cannot comparison room body anything arms love ears adore knees shake blind affection mind begs ask something obey want follow rest days want crawl crawl quiet sing hungry let bring food thirst nothing quench arabian wine go araby even though across world bring bottle back lunch anything anything cannot learn know cannot compete countess skills wisdom appeal saw way looked saw way looked remember please old interests seventeen dearest westley never called westley westley westley westley westley darling westley adored westley sweet perfect westley whisper chance win love ' dared bravest thing ever done looked right eyes,"I love you,' Buttercup said. 'I know this must come as something of a surprise to you, since all I've ever done is scorn you and degrade you and taunt you, but I have loved you for several hours now, and every second, more. I thought an hour ago that I loved you more than any woman has ever loved a man, but a half hour after that I knew that what I felt before was nothing compared to what I felt then. But ten minutes after that, I understood that my previous love was a puddle compared to the high seas before a storm. Your eyes are like that, did you know? Well they are. How many minutes ago was I? Twenty? Had I brought my feelings up to then? It doesn't matter.' Buttercup still could not look at him. The sun was rising behind her now; she could feel the heat on her back, and it gave her courage. 'I love you so much more now than twenty minutes ago that there cannot be comparison. I love you so much more now then when you opened your hovel door, there cannot be comparison. There is no room in my body for anything but you. My arms love you, my ears adore you, my knees shake with blind affection. My mind begs you to ask it something so it can obey. Do you want me to follow you for the rest of your days? I will do that. Do you want me to crawl? I will crawl. I will be quiet for you or sing for you, or if you are hungry, let me bring you food, or if you have thirst and nothing will quench it but Arabian wine, I will go to Araby, even though it is across the world, and bring a bottle back for your lunch. Anything there is that I can do for you, I will do for you; anything there is that I cannot do, I will learn to do. I know I cannot compete with the Countess in skills or wisdom or appeal, and I saw the way she looked at you. And I saw the way you looked at her. But remember, please, that she is old and has other interests, while I am seventeen and for me there is only you. Dearest Westley--I've never called you that before, have I?--Westley, Westley, Westley, Westley, Westley,--darling Westley, adored Westley, sweet perfect Westley, whisper that I have a chance to win your love.' And with that, she dared the bravest thing she'd ever done; she looked right into his eyes.",-1,0.0,POSITIVE,0.9972551465034485,0.9972551465034485,surprise,0.1429065316915512
"And the joys I've felt have not always been joyous. I could have lived differently. When I was your age, my grandfather bought me a ruby bracelet. It as too big for me an would slide up and down my arm. It was almost a necklace. He later told me that he had asked the jeweler make that way. Its size was supposed to be a symbol of his love. More rubies, more love. But I could not wear it comfortably. I could not wear it at all. So here is the point of everything I have been trying to say. IF I were to give a bracelet to you, now, I would measure your wrist twice",112,Jonathan Safran Foer,Extremely Loud and Incredibly Close,,joys felt always joyous lived differently age grandfather bought ruby bracelet big slide arm almost necklace later told asked jeweler make way size supposed symbol love rubies love wear comfortably wear point everything trying give bracelet measure wrist twice,"And the joys I've felt have not always been joyous. I could have lived differently. When I was your age, my grandfather bought me a ruby bracelet. It as too big for me an would slide up and down my arm. It was almost a necklace. He later told me that he had asked the jeweler make that way. Its size was supposed to be a symbol of his love. More rubies, more love. But I could not wear it comfortably. I could not wear it at all. So here is the point of everything I have been trying to say. IF I were to give a bracelet to you, now, I would measure your wrist twice",-1,0.0,NEGATIVE,0.9622976183891296,-0.9622976183891296,caring,0.12647072970867157
"If you hide your ignorance, no one will hit you and you'll never learn.",1761,Ray Bradbury,Fahrenheit 451,,hide ignorance one hit never learn,"If you hide your ignorance, no one will hit you and you'll never learn.",0,1.0,NEGATIVE,0.9370649456977844,-0.9370649456977844,confusion,0.16268453001976013
"Like a running blaze on a plain, like a flash of lightning in the clouds. We live in the flicker.",122,Joseph Conrad,Heart of Darkness,[],running blaze plain flash lightning clouds live flicker,"Like a running blaze on a plain, like a flash of lightning in the clouds. We live in the flicker.",-1,0.0,NEGATIVE,0.889435350894928,-0.889435350894928,excitement,0.17983727157115936
I was never afraid of the consequences of being with you. Even if every assassin in the world hunts us … It’s worth it. You are worth it.,105,Sarah J. Maas,A Court of Mist and Fury,,never afraid consequences even every assassin world hunts us worth worth,I was never afraid of the consequences of being with you. Even if every assassin in the world hunts us … It’s worth it. You are worth it.,-1,0.0,POSITIVE,0.9998717308044434,0.9998717308044434,realization,0.20319406688213348
"As my friend, you should either bring me along, or keep me company.""
""Friend?"" he asked.
She blushed. ""Well, 'scowling escort' is a better description. Or 'reluctant acquaintance', if you prefer.",743,Sarah J. Maas,Throne of Glass,[],friend either bring along keep company friend asked blushed well 'scowling escort' better description 'reluctant acquaintance' prefer,"As my friend, you should either bring me along, or keep me company.""
""Friend?"" he asked.
She blushed. ""Well, 'scowling escort' is a better description. Or 'reluctant acquaintance', if you prefer.",0,1.0,NEGATIVE,0.8328372240066528,-0.8328372240066528,caring,0.09437813609838486
"we know God is dead, they've told us, but listening to you I wasn't sure.",169,Charles Bukowski,Love Is a Dog from Hell,,know god dead told us listening sure,"we know God is dead, they've told us, but listening to you I wasn't sure.",-1,0.0,NEGATIVE,0.9980455636978149,-0.9980455636978149,confusion,0.30136609077453613
"To bait fish withal: if it will feed nothing else, it will feed my revenge. He hath disgraced me, and hindered me half a million; laughed at my losses,
mocked at my gains, scorned my nation, thwarted my bargains, cooled my friends, heated mine enemies; and what's his reason? 
I am a Jew. 
Hath not a Jew eyes? hath not a Jew hands, organs,dimensions, senses, affections, passions? 
Fed with the same food, hurt with the same weapons, subject to the same diseases, healed by the same means,
warmed and cooled by the same winter and summer, as a Christian is? 
If you prick us, do we not bleed? 
If you tickle us, do we not laugh? 
If you poison us, do we not die? 
And if you wrong us, shall we not
revenge? 
If we are like you in the rest, we will
resemble you in that. 
If a Jew wrong a Christian, what is his humility? Revenge. 
If a Christian wrong a Jew, what should his sufferance be by Christian example?
Why, revenge. 
The villany you teach me, I will execute, and it shall go hard but I
will better the instruction.",103,William Shakespeare,The Merchant of Venice,,bait fish withal feed nothing else feed revenge hath disgraced hindered half million laughed losses mocked gains scorned nation thwarted bargains cooled friends heated mine enemies what's reason jew hath jew eyes hath jew hands organs dimensions senses affections passions fed food hurt weapons subject diseases healed means warmed cooled winter summer christian prick us bleed tickle us laugh poison us die wrong us shall revenge rest resemble jew wrong christian humility revenge christian wrong jew sufferance christian example revenge villany teach execute shall go hard better instruction,"To bait fish withal: if it will feed nothing else, it will feed my revenge. He hath disgraced me, and hindered me half a million; laughed at my losses,
mocked at my gains, scorned my nation, thwarted my bargains, cooled my friends, heated mine enemies; and what's his reason? 
I am a Jew. 
Hath not a Jew eyes? hath not a Jew hands, organs,dimensions, senses, affections, passions? 
Fed with the same food, hurt with the same weapons, subject to the same diseases, healed by the same means,
warmed and cooled by the same winter and summer, as a Christian is? 
If you prick us, do we not bleed? 
If you tickle us, do we not laugh? 
If you poison us, do we not die? 
And if you wrong us, shall we not
revenge? 
If we are like you in the rest, we will
resemble you in that. 
If a Jew wrong a Christian, what is his humility? Revenge. 
If a Christian wrong a Jew, what should his sufferance be by Christian example?
Why, revenge. 
The villany you teach me, I will execute, and it shall go hard but I
will better the instruction.",-1,0.0,NEGATIVE,0.909851610660553,-0.909851610660553,confusion,0.1273413896560669
"Regin slapped her knees. “Oh, my gods, look at him running like his life depended on catching us.” She slid open the door. “Is this straight outta Platoon, or what? Willem!” she cried, holding out one hand. “Run, Willem!” Then she choked on her laughter.",53,Kresley Cole,Dark Desires After Dusk,[],regin slapped knees oh gods look running life depended catching us slid open door straight outta platoon willem cried holding one hand run willem choked laughter,"Regin slapped her knees. “Oh, my gods, look at him running like his life depended on catching us.” She slid open the door. “Is this straight outta Platoon, or what? Willem!” she cried, holding out one hand. “Run, Willem!” Then she choked on her laughter.",0,0.874175073378552,NEGATIVE,0.9903408885002136,-0.9903408885002136,excitement,0.1373552531003952
"The cat looked as if it were about to say something sarcastic. Then it flicked its whiskers and said, ""Challenge her. There's no guarantee she'll play fair, but her kind of thing loves games and challenges.",69,Neil Gaiman,Coraline,,cat looked something sarcastic flicked whiskers challenge there's guarantee play fair kind thing loves games challenges,"The cat looked as if it were about to say something sarcastic. Then it flicked its whiskers and said, ""Challenge her. There's no guarantee she'll play fair, but her kind of thing loves games and challenges.",0,0.4866494434291455,POSITIVE,0.9699618220329285,0.9699618220329285,amusement,0.11072113364934921
The future is now. It's time to grow up and be strong. Tomorrow may well be too late.,2820,Neil LaBute,Reasons to Be Pretty,,future time grow strong tomorrow well late,The future is now. It's time to grow up and be strong. Tomorrow may well be too late.,-1,0.0,NEGATIVE,0.9974125027656555,-0.9974125027656555,optimism,0.1875525563955307
"The poor parent birds work themselves to death trying to find enough food to feed the enormous cuckoo child who has murdered their babies and taken their places."" 
Jace: "" Enormous? Did you just call me fat?"" 
Inquisitor: ""It was an analogy."" 
Jace: ""I am not fat.",96,Cassandra Clare,City of Glass,,poor parent birds work death trying find enough food feed enormous cuckoo child murdered babies taken places jace enormous call fat inquisitor analogy jace fat,"The poor parent birds work themselves to death trying to find enough food to feed the enormous cuckoo child who has murdered their babies and taken their places."" 
Jace: "" Enormous? Did you just call me fat?"" 
Inquisitor: ""It was an analogy."" 
Jace: ""I am not fat.",-1,0.0,NEGATIVE,0.9951282739639282,-0.9951282739639282,confusion,0.11154887080192566
"So far, about morals, I know only that what is moral is what you feel good after and what is immoral is what you feel bad after.",775,Ernest Hemingway,Death in the Afternoon,"['morals', 'right', 'right-and-wrong', 'wrong']",far morals know moral feel good immoral feel bad,"So far, about morals, I know only that what is moral is what you feel good after and what is immoral is what you feel bad after.",0,0.7548428510358601,NEGATIVE,0.9962502121925354,-0.9962502121925354,realization,0.23620454967021942
